model,sampler,accuracy,precision,recall,f1,roc_auc
SVM,SMOTE,0.7797083333333333,0.5020720143593145,0.5752509358509454,0.5361185955343529,0.7594145916628472
SVM,Under,0.7700833333333333,0.4841362018088665,0.5905076580918049,0.5319929778024582,0.7582539609331463
RandomForest,Under,0.742125,0.44256110258444814,0.6381610639857577,0.5226497573989104,0.7721169474016439
RandomForest,SMOTE,0.799875,0.5560301024260482,0.4727844427759762,0.5110271571232543,0.7629038903635832
LogisticRegression,Under,0.6886666666666665,0.3808903778743857,0.6468312415356298,0.47922332878817125,0.7268444489189834
RandomForest,None,0.8178750000000001,0.6530303100451025,0.3770954807584786,0.4780489691184413,0.7696113318666703
LogisticRegression,SMOTE,0.6819583333333334,0.37509092136865874,0.6566251502065172,0.47740632049754217,0.7287524318734693
SVM,None,0.8195,0.6851375986407631,0.3416838394649542,0.455725942382757,0.7231764507534548
LogisticRegression,None,0.8110416666666665,0.7105940483579452,0.24599700740693406,0.36533718432816953,0.7271856783962874
